timestamp,gyrx,gyry,gyrz
11:19:51.290,24.4,-39.4,-147.91
11:19:51.484,24.33,-39.82,-150.32
11:19:51.680,24.56,-39.36,-152.39
11:19:51.916,24.68,-36.03,-152.48
11:19:52.069,24.44,-35.94,-155.0
11:19:52.313,22.08,-36.15,-157.77
11:19:52.460,22.9,-36.2,-160.42
11:19:52.655,21.92,-38.56,-162.48
11:19:52.850,22.99,-38.77,-165.68
11:19:53.045,23.15,-38.31,-167.49
11:19:53.240,23.53,-38.31,-169.82
11:19:53.435,23.33,-38.61,-172.48
11:19:53.680,23.11,-38.59,-174.89
11:19:53.874,22.26,-38.91,-176.62
11:19:54.067,22.56,-38.81,-178.98
11:19:54.265,22.31,-38.87,178.73
11:19:54.459,24.16,-37.37,175.81
11:19:54.654,23.99,-37.59,174.61
11:19:54.849,23.03,-38.57,171.94
11:19:55.045,24.77,-38.91,169.37
11:19:55.239,23.04,-40.28,166.22
11:19:55.434,23.18,-41.2,163.34
11:19:55.629,23.05,-41.32,160.45
11:19:55.824,22.35,-42.77,159.15
11:19:56.018,24.11,-43.3,156.77
11:19:56.214,21.46,-41.82,153.89
11:19:56.409,21.14,-42.62,151.16
11:19:56.604,19.7,-42.43,150.65
11:19:56.848,17.85,-42.53,151.33
11:19:56.993,17.82,-41.88,149.84
11:19:57.191,18.03,-41.88,147.84
11:19:57.384,18.39,-41.88,145.18
11:19:57.579,18.65,-41.67,142.81
11:19:57.774,18.36,-41.3,140.45
11:19:58.017,18.04,-41.22,138.61
11:19:58.253,18.38,-41.26,136.02
11:19:58.407,18.32,-41.08,133.79
11:19:58.602,18.73,-40.88,131.49
11:19:58.799,18.36,-40.52,129.5
11:19:58.992,18.55,-40.33,127.15
11:19:59.236,18.9,-40.37,124.64
11:19:59.383,18.78,-40.23,122.34
11:19:59.577,18.96,-40.23,120.03
11:19:59.772,18.97,-40.26,117.76
11:19:59.967,19.1,-40.37,115.39
11:20:00.161,18.98,-40.39,113.23
11:20:00.356,19.1,-40.2,110.9
11:20:00.553,18.99,-40.4,109.06
11:20:00.748,19.23,-40.18,106.36
11:20:00.942,22.72,-38.76,105.97
11:20:01.137,20.6,-41.6,105.69
11:20:01.332,19.53,-39.12,104.77
11:20:01.575,22.97,-40.82,100.95
11:20:01.723,23.07,-39.26,99.97
11:20:01.919,21.42,-40.72,97.11
11:20:02.113,20.05,-40.15,95.72
11:20:02.356,20.27,-41.12,93.22
11:20:02.601,19.94,-39.48,91.76
11:20:02.747,19.93,-39.15,88.93
11:20:02.990,20.11,-37.7,87.63
11:20:03.136,20.74,-37.62,85.21
11:20:03.332,21.9,-36.24,82.44
11:20:03.527,20.49,-35.76,81.25
11:20:03.722,21.74,-36.37,77.65
11:20:03.916,18.9,-36.33,76.42
11:20:04.111,19.02,-37.2,75.0
11:20:04.309,20.75,-37.92,74.89
11:20:04.501,22.06,-38.84,69.78
11:20:04.698,23.55,-42.95,61.53
11:20:04.892,25.4,-40.37,58.65
11:20:05.087,24.98,-41.65,57.2
11:20:05.330,21.39,-40.19,55.59
11:20:05.476,23.56,-38.64,54.35
11:20:05.671,20.86,-35.31,52.46
11:20:05.866,21.34,-30.97,51.04
11:20:06.110,22.13,-28.27,50.98
11:20:06.256,19.26,-30.89,48.8
11:20:06.451,21.08,-29.32,46.41
11:20:06.744,19.66,-30.41,44.56
11:20:06.890,19.45,-26.85,39.53
11:20:07.085,21.09,-28.96,38.9
11:20:07.280,20.13,-29.85,37.2
11:20:07.475,19.97,-29.61,35.28
11:20:07.670,19.54,-30.39,33.18
11:20:07.865,18.87,-30.76,30.57
11:20:08.060,18.81,-30.55,28.42
11:20:08.255,19.36,-31.14,26.4
11:20:08.450,19.56,-31.22,23.87
11:20:08.645,18.31,-32.02,22.76
11:20:08.839,8.06,-27.89,38.37
11:20:09.034,-1.23,-35.6,55.47
11:20:09.230,-4.27,-39.71,59.17
11:20:09.473,1.66,-39.07,53.72
11:20:09.621,-1.96,-35.71,54.6
11:20:09.816,1.55,-34.1,51.0
11:20:10.012,1.65,-32.58,52.01
11:20:10.253,2.85,-31.27,49.39
11:20:10.401,3.61,-23.83,40.86
11:20:10.595,5.81,-22.76,41.17
11:20:10.792,1.91,-24.2,45.99
11:20:11.035,6.66,-25.01,39.77
11:20:11.230,5.78,-19.77,32.86
11:20:11.425,9.81,-15.59,27.14
11:20:11.619,6.34,-22.35,25.64
11:20:11.864,8.49,-18.45,24.22
11:20:12.058,8.94,-11.95,20.85
11:20:12.302,9.59,-12.52,19.85
11:20:12.399,9.34,-12.46,17.49
11:20:12.643,10.05,-11.99,15.52
11:20:12.789,11.42,-11.4,13.5
11:20:12.984,9.62,-9.86,10.55
11:20:13.179,9.25,-8.19,7.7
11:20:13.374,9.12,-5.96,5.26
11:20:13.569,9.33,-8.69,4.84
11:20:13.812,9.35,-9.73,3.04
11:20:13.959,8.93,-10.34,1.52
11:20:14.202,8.55,-11.29,0.07
11:20:14.349,8.52,-11.54,-1.44
11:20:14.544,8.51,-11.85,-2.9
11:20:14.741,8.49,-12.36,-4.74
11:20:14.934,8.81,-13.4,-6.77
11:20:15.228,8.05,-13.59,-7.96
11:20:15.373,8.43,-13.12,-9.71
11:20:15.568,8.56,-13.67,-11.3
11:20:15.764,8.81,-13.12,-13.91
11:20:16.005,8.35,-12.69,-15.63
11:20:16.154,7.86,-13.8,-16.57
11:20:16.348,7.58,-13.39,-17.73
11:20:16.542,7.69,-12.37,-19.92
11:20:16.787,7.51,-12.25,-21.77
11:20:16.933,6.93,-11.25,-22.45
11:20:17.127,6.99,-10.58,-24.59
11:20:17.323,9.66,-11.78,-29.44
11:20:17.567,10.15,-13.77,-30.87
11:20:17.715,9.92,-14.45,-33.69
