timestamp,accx,accy,accz
11:03:49.720,-0.228,-0.241,0.948
11:03:49.915,-0.274,-0.193,0.923
11:03:50.111,-0.367,-0.192,0.916
11:03:50.305,-0.293,-0.255,0.911
11:03:50.501,-0.207,-0.28,0.955
11:03:50.695,-0.217,-0.277,0.918
11:03:50.892,-0.179,-0.28,0.935
11:03:51.085,-0.201,-0.269,0.962
11:03:51.281,-0.129,-0.222,1.009
11:03:51.475,-0.296,-0.267,0.964
11:03:51.670,-0.439,-0.197,0.917
11:03:51.865,-0.136,-0.22,0.935
11:03:52.060,-0.252,-0.254,0.951
11:03:52.256,-0.229,-0.245,0.969
11:03:52.451,-0.231,-0.233,0.96
11:03:52.645,-0.212,-0.285,0.961
11:03:52.840,-0.211,-0.183,0.91
11:03:53.036,-0.078,-0.271,0.961
11:03:53.230,-0.199,-0.141,0.949
11:03:53.474,0.016,-0.38,0.956
11:03:53.670,-0.106,-0.211,0.978
11:03:53.865,-0.006,-0.277,0.955
11:03:54.059,-0.033,-0.255,1.069
11:03:54.254,-0.163,-0.248,0.919
11:03:54.450,-0.142,-0.21,0.962
11:03:54.644,-0.189,-0.3,1.15
11:03:54.839,-0.378,-0.244,0.88
11:03:55.034,-0.246,-0.146,1.113
11:03:55.230,-0.105,-0.221,0.992
11:03:55.425,-0.025,-0.224,1.021
11:03:55.621,0.151,-0.221,1.06
11:03:55.815,-0.047,-0.235,0.997
11:03:56.010,-0.047,-0.217,0.972
11:03:56.204,-0.013,-0.234,0.953
11:03:56.400,-0.162,-0.228,0.902
11:03:56.644,-0.041,-0.204,0.955
11:03:56.839,-0.063,-0.211,0.997
11:03:56.988,-0.104,-0.199,0.968
11:03:57.179,-0.158,-0.19,0.978
11:03:57.373,-0.102,-0.215,0.867
11:03:57.568,-0.099,-0.239,0.931
11:03:57.813,-0.067,-0.196,0.994
11:03:58.007,-0.377,-0.166,0.949
11:03:58.204,-0.111,-0.218,0.974
11:03:58.398,-0.151,-0.202,0.982
11:03:58.593,-0.101,-0.19,0.96
11:03:58.788,-0.126,-0.182,0.976
11:03:59.031,-0.015,-0.226,1.024
11:03:59.179,-0.258,0.002,0.935
11:03:59.373,0.201,-0.08,0.906
11:03:59.568,-0.154,-0.166,0.913
11:03:59.763,-0.129,-0.199,0.998
11:03:59.958,-0.158,-0.146,0.962
11:04:00.153,-0.23,-0.129,0.965
11:04:00.347,0.273,-0.443,1.057
11:04:00.544,-0.112,-0.246,0.8
11:04:00.738,0.321,-0.141,1.413
11:04:00.933,-0.093,-0.082,1.038
11:04:01.128,0.046,-0.188,0.954
11:04:01.322,-0.203,-0.166,0.977
11:04:01.567,-0.274,-0.144,0.97
11:04:01.713,-0.109,-0.161,0.964
11:04:01.908,-0.116,-0.161,0.969
11:04:02.152,-0.21,-0.14,0.978
11:04:02.348,-0.176,-0.157,0.991
11:04:02.541,-0.163,-0.156,0.976
11:04:02.737,-0.364,-0.168,1.075
11:04:02.931,-0.186,-0.165,0.969
11:04:03.126,-0.237,-0.145,0.966
11:04:03.322,-0.283,-0.107,0.988
11:04:03.517,-0.132,-0.135,0.948
11:04:03.712,-0.184,-0.129,0.981
11:04:03.906,-0.054,-0.139,1.01
11:04:04.101,-0.215,-0.13,0.98
11:04:04.297,-0.237,-0.146,0.978
11:04:04.492,-0.209,-0.122,0.962
11:04:04.833,-0.187,-0.132,0.985
11:04:04.884,-0.164,-0.122,0.998
11:04:05.223,-0.149,-0.071,0.994
11:04:05.272,-0.219,-0.046,0.971
11:04:05.516,-0.21,-0.117,0.98
11:04:05.662,-0.221,-0.114,0.954
11:04:05.858,-0.143,-0.174,0.979
11:04:06.052,-0.278,-0.13,1.008
11:04:06.247,-0.598,-0.166,0.941
11:04:06.492,-0.278,-0.108,0.978
11:04:06.686,-0.182,-0.068,1.002
11:04:06.930,-0.177,-0.055,1.015
11:04:07.077,-0.262,-0.067,0.961
11:04:07.270,-0.202,-0.096,0.995
11:04:07.468,-0.271,-0.041,1.134
11:04:07.661,-0.198,0.018,0.961
11:04:07.857,-0.332,0.115,0.958
11:04:08.052,-0.156,0.083,1.037
11:04:08.246,-0.719,0.207,0.718
11:04:08.441,-0.611,0.36,0.599
11:04:08.635,-0.657,0.447,0.725
11:04:08.830,-0.635,0.478,0.69
11:04:09.025,-0.445,0.558,0.571
11:04:09.221,-0.411,0.58,0.612
11:04:09.415,-0.35,0.787,0.362
11:04:09.611,-0.57,0.706,0.364
11:04:09.806,-0.637,0.75,0.373
11:04:10.000,-0.143,0.753,0.587
11:04:10.195,-0.004,0.642,0.717
11:04:10.391,0.036,0.61,0.751
11:04:10.586,-0.008,0.662,0.724
11:04:10.829,-0.038,0.815,0.4
11:04:11.025,-0.232,0.733,0.556
11:04:11.268,-0.206,0.545,1.141
11:04:11.415,-0.221,0.445,0.837
11:04:11.610,-0.013,0.625,0.783
